"city", "country"
"Albertville", "France"
"Amsterdam", "Netherlands"
"Antwerpen", "Belgium"
"Athina", "Greece"
"Atlanta", "United States"
"Barcelona", "Spain"
"Beijing", "China"
"Berlin", "Germany"
"Calgary", "Canada"
"Chamonix", "France"
"Cortina d'Ampezzo", "Italy"
"Garmisch-Partenkirchen", "Germany"
"Grenoble", "France"
"Helsinki", "Finland"
"Innsbruck", "Austria"
"Lake Placid", "United States"
"Lillehammer", "Norway"
"London", "United Kingdom"
"Los Angeles", "United States"
"Melbourne", "Australia"
"Mexico City", "Mexico"
"Montreal", "Canada"
"Moskva", "Russia"
"Munich", "Germany"
"Nagano", "Japan"
"Oslo", "Norway"
"Paris", "France"
"Rio de Janeiro", "Brazil"
"Roma", "Italy"
"Salt Lake City", "United States"
"Sankt Moritz", "Switzerland"
"Sapporo", "Japan"
"Sarajevo", "Bosnia and Herzegovina"
"Seoul", "Korea, Rep."
"Sochi", "Russia"
"Squaw Valley", "United States"
"St. Louis", "United States"
"Stockholm", "Sweden"
"Sydney", "Australia"
"Tokyo", "Japan"
"Torino", "Italy"
"Vancouver", "Canada"
